Binding,3,3,3,800,Rooftop Weapon Shop,
Fighter's Binding,5,5,5,"4800","Rooftop Weapon Shop Kamiyama Works (Armor)",
Fearless Binding,7,7,7,"8500",Kamiyama Works (Armor),
Gambler's Binding,10,10,10,,Gambling Hall,
Bloody Binding,-49,-49,-49,,"Underground Locker F2 Coliseum (75000 points)",
Lucky Binding,7,7,7,,Completion of Food/Drink,Every so often an encounter reward will be 777 yen.
Dragon's Binding,12,12,12,,Completion of Hostess Maker (dating),
Chain Mail,6,8,5,"48000",Ebisu Pawn,
Battle Mail,8,10,5,"68000",Rooftop Weapon Shop,
Steel Mail,10,12,5,"84000","Taihei Locker A2 Either Casino (840 chips)",
Antique Chain Mail,12,15,5,"125000",Taihei Locker E5,
Dragon Mail,14,20,15,,"Coliseum (200000 points)",
Iron Breastplate,6,5,8,"18000",Rooftop Weapon Shop,
Bulletproof Breastplate,8,5,10,"28000",Kamiyama Works (Armor),
SWAT Body Armor,10,5,15,"65000","Underground Locker C5Kamiyama Works (Armor)",
New Flak Vest,12,5,18,,Kamiyama Works Modding,
Dragon Flak Vest,14,5,25,,"Green Store (48000 points)",
Fireproof Shirt,0,0,0,,Kamiyama Works Modding,Defense against fire attacks
Insulated Shirt,0,0,0,,Kamiyama Works Modding,Defense against electric attacks
Wake-Up Shirt,0,0,0,,Kamiyama Works Modding,Defense against stun attacks
Dustproof Shirt,0,0,0,,Kamiyama Works Modding,Defense against blinding attacks
Dragon Shirt,12,0,0,,Completion of No. 1 Hostess Maker,Greatly charms hostesses
Strong Training Gear,1,1,1,,Kamiyama Works Modding,Makes it easier to escape enemy grabs
Low-Resilience Jacket,10,0,0,,Kamiyama Works Modding,Reduces damage from collisions into the wall or ground
Yakuza Training Gear,6,6,6,,Kamiyama Works Modding,Increases Experience gained
Kamiyama Jacket,10,10,0,,Kamiyama Works Modding,Wear all three Kamiyama items to increase weapon durability.
Rage Armor,10,10,10,,Completion of Police Scanner,Wear with two other Rage items to get attack power in Heat Mode
Sacred Tree Armor,5,5,10,,Completion of Saigo's Training,Wear with two other Sacred Tree items to be immune to bullets
Kokurenkai Thingy,0,0,0,,Completion of Saejima's Substories,"Sometimes negates damage, does this more often when wearing all three."
Physimagic Jersey,0,0,0,3980,"Don Quijote Taihei Locker D4",
Cardio-enhancing Running Shirt,0,0,0,,Kamiyama Works Modding,Decreases stamina loss in chase battles
Morning Glory Waistband,5,5,5,,Have any *Yakuza* game save data,Wear with Gion Bell for health restoration when standing still
Gauntlets,1,3,1,"16000",Rooftop Weapon Shop,Take less damage from blades
Springy Arm Guards,2,0,0,,Kamiyama Works Modding,Increases damage from thrown weapons
Hercules Gloves,1,0,0,,Completion of Weapon Modding,Hold onto enemies for longer
Leech Gloves,1,0,0,,"Coliseum (120000 points)",Raises Heat while holding enemies
High-Tech Arm Guards,5,0,0,,Kamiyama Works Modding,Increases damage from thrown weapons
Kamiyama Arm Guards,5,5,5,,Kamiyama Works Modding,Wear all three Kamiyama items to increase weapon durability.
Sacred Tree Arm Guards,3,3,3,,Completion of Master's Training,Wear with two other Sacred Tree items to be immune to bullets
Protective Amulet,3,0,3,300,Ebisu Pawn,
Bulletproof Glass Amulet,1,0,5,,Kamiyama Works Modding,
Charismatic Photo,0,0,0,,"Taihei Locker I4 Coliseum (100000 points)",Attracts more enemies
Goddess of Children Amulet,5,0,0,,"Gambling Halls (12 Points), Taihei Locker E2",Reduces encounters in the area
Rescue Card,0,0,0,,Kamiyama Works Modding,Increases Heat faster at critical health
Rage Talisman,3,0,3,,Completion of Allies,Wear with two other Rage items to get attack power in Heat Mode
War God Talisman,1,0,10,,Completion of Ultimate Matches,Heat Gauge is always maximum
War God Amulet,1,0,5,,Completion of Heat Actions,Use Heat Actions regardless of your Heat Gauge's state
Haruka's Amulet,3,3,3,,Haruka's Trust Rank C,
Calming Towel,1,0,0,,"Coliseum (7500 points)",Lowers Heat and prevents raising of it
Tattered Scarf,1,0,0,,Taihei Locker A1,Repels enemies and hostesses
Haruka's Necklace,5,5,5,,Haruka's Trust Rank SSS,
Morning Glory Scarf,5,5,5,,Haruka's Trust Rank EX,
Beads of Good Fortune,1,0,0,,Completion of Locker Keys,No random battles on the streets
Tourmaline Bracelet,0,0,0,,"Batting Center Normal Prize Coliseum (100000 points)",Stand still to regain health
Southpaw Bracelet,0,0,0,,"Batting Center Easy Prize Underground Locker D3 Coliseum (45000 points)",Left-handed attacks get stronger
Champion's Ring,0,0,0,,"Coliseum (50000 points)",Enemies become more numerous and aggressive
Payback Ring,-25,-25,-25,,"Coliseum (15000 points)",Get stronger as your health goes down
Rage Bracelet,3,0,3,,Completion of Gang Encounters,Wear with two other Rage items to get attack power in Heat Mode
Tiger Skin Belt,3,3,3,"78000","Ebisu Pawn Underground Locker A3",
Black Belt,1,0,0,,"Coliseum (1500 points)",Increases throwing power
Immovable Belt,1,0,0,,Kamiyama Works Modding,Easier to grab and throw enemies
Plastic Shin Guards,1,1,1,,Coliseum (500 Points),
Comfy Soles,0,0,0,,Taihei Locker F4,
Steel Shin Guards,3,3,3,,"Underground Locker C2 Coliseum (10000 points)",
Striker Shin Guards,1,1,1,,Kamiyama Works Modding,Increases kick power
High-Tech Shin Guards,5,5,5,,Kamiyama Works Modding,Leg strikes knock you down less
Silent Shoes,1,0,0,,"Coliseum (45000 points)",More difficult for enemies to notice you
Spiked Shoes,1,0,0,,Kamiyama Works Modding,Increases stomp damage
Mew Shoes,1,0,0,,Kamiyama Works Modding,"Enemies notice you easier, but are less aggressive"
